order_id,product_id,product_name,category,supplier_id,supplier_name,region,quantity,unit_price,discount,order_date,delivery_date,status,customer_id,warehouse_id
ORD-1036,PRD-234,Power Bank 20000mAh,Electronics,SUP-05,SoundWave,West,16,59.99,0.1,2024-03-13,2024-03-20,Delivered,CUST-536,WH-03
ORD-1037,PRD-235,Desk Mat,Accessories,SUP-08,CarryAll,North,25,24.99,,2024-03-15,2024-03-22,Delivered,CUST-537,WH-01
ORD-1038,PRD-236,Smart Plug,Home,SUP-07,HomeTech,East,-5,19.99,0.05,2024-03-17,2024-03-24,Delivered,CUST-538,WH-02
ORD-1039,PRD-237,HDMI Cable 2m,Electronics,SUP-03,InputGear,South,30,12.99,0.0,2024-03-19,2024-03-26,Shipped,CUST-539,WH-03
ORD-1040,PRD-238,Locker Cabinet,Furniture,SUP-02,FurniPro,West,N/A,299.99,0.2,2024-03-21,,Pending,CUST-540,WH-01
ORD-1041,PRD-239,Bluetooth Speaker,Electronics,SUP-05,SoundWave,North,10,89.99,,2024-03-23,2024-04-02,Delivered,CUST-541,WH-02
ORD-1042,PRD-240,Humidifier,Home,SUP-07,HomeTech,East,8,64.99,0.1,2024-03-25,2024-04-05,Delivered,CUST-542,WH-03
ORD-1043,PRD-241,Cable Tester,Electronics,SUP-03,InputGear,South,5,34.99,0.0,2024-03-27,2024-04-03,Shipped,CUST-543,WH-01
ORD-1044,PRD-242,Keyboard Tray,Furniture,SUP-02,FurniPro,West,7,79.99,,2024-03-29,2024-04-10,Delivered,CUST-544,WH-02
ORD-1045,PRD-243,Laptop Riser,Accessories,SUP-08,CarryAll,North,13,44.99,0.05,2024-04-01,2024-04-08,Delivered,CUST-545,WH-03
ORD-1046,PRD-244,Mouse Pad XL,Accessories,SUP-08,CarryAll,East,20,19.99,0.0,2024-04-03,2024-04-10,Shipped,CUST-546,WH-01
ORD-1047,PRD-245,Smart Strip,Home,SUP-07,HomeTech,South,-4,34.99,,2024-04-05,2024-04-12,Delivered,CUST-547,WH-02
ORD-1048,PRD-246,Pen Holder,Office,SUP-06,OfficeMate,West,N/A,9.99,0.1,2024-04-07,,Pending,CUST-548,WH-03
ORD-1049,PRD-247,Dual Monitor Stand,Electronics,SUP-01,TechSource Ltd,North,4,129.99,0.05,2024-04-09,2024-04-19,Delivered,CUST-549,WH-01
ORD-1050,PRD-248,Shredder,Office,SUP-06,OfficeMate,East,3,109.99,,2024-04-11,2024-04-22,Delivered,CUST-550,WH-02
